,hidden_nodes,learning_rate,epochs,performance,training_time
240,20.0,0.01,1.0,0.8962,26.51
241,20.0,0.01,10.0,0.9334,147.67
242,20.0,0.01,15.0,0.9314,219.3
243,20.0,0.01,2.0,0.9126,52.96
244,20.0,0.01,20.0,0.9397,296.04
245,20.0,0.01,3.0,0.9141,80.04
246,20.0,0.01,4.0,0.9258,107.26
247,20.0,0.01,5.0,0.9222,82.12
248,20.0,0.01,6.0,0.9303,88.58
249,20.0,0.01,7.0,0.9261,103.84
250,20.0,0.01,8.0,0.9231,117.35
251,20.0,0.01,9.0,0.9374,130.23
252,20.0,0.1,1.0,0.915,15.56
253,20.0,0.1,10.0,0.9328,230.33
254,20.0,0.1,15.0,0.9297,353.64
255,20.0,0.1,2.0,0.9263,29.39
256,20.0,0.1,20.0,0.9337,588.27
257,20.0,0.1,3.0,0.9236,44.32
258,20.0,0.1,4.0,0.9304,58.67
259,20.0,0.1,5.0,0.9324,72.89
260,20.0,0.1,6.0,0.9302,96.95
261,20.0,0.1,7.0,0.9284,104.5
262,20.0,0.1,8.0,0.9311,219.76
263,20.0,0.1,9.0,0.9272,142.02
264,20.0,0.2,1.0,0.9031,14.28
265,20.0,0.2,10.0,0.9309,141.18
266,20.0,0.2,15.0,0.9292,225.85
267,20.0,0.2,2.0,0.9129,27.91
268,20.0,0.2,20.0,0.9239,335.07
269,20.0,0.2,3.0,0.9148,41.95
270,20.0,0.2,4.0,0.9242,55.15
271,20.0,0.2,5.0,0.9268,69.72
272,20.0,0.2,6.0,0.9223,84.37
273,20.0,0.2,7.0,0.9238,96.66
274,20.0,0.2,8.0,0.92,109.5
275,20.0,0.2,9.0,0.9227,127.0
276,20.0,0.3,1.0,0.9025,14.74
277,20.0,0.3,10.0,0.9249,261.73
278,20.0,0.3,15.0,0.9208,393.44
279,20.0,0.3,2.0,0.9098,29.17
280,20.0,0.3,20.0,0.927,494.42
281,20.0,0.3,3.0,0.9034,44.09
282,20.0,0.3,4.0,0.9161,108.5
283,20.0,0.3,5.0,0.9197,142.8
284,20.0,0.3,6.0,0.9178,167.65
285,20.0,0.3,7.0,0.9188,183.69
